City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Baykit,61.67,96.37,-37.5,100,100,2.21,RU,01/10/2023
Ushuaia,-54.8,-68.3,49.66,81,0,16.11,AR,01/10/2023
Pacific Grove,36.6177,-121.9166,55.42,82,100,6.91,US,01/10/2023
Sainte-Maxime,43.3,6.6333,51.01,63,99,6.69,FR,01/10/2023
Provideniya,64.3833,-173.3,6.91,61,20,22.37,RU,01/10/2023
Dikson,73.5069,80.5464,-30.6,98,48,4.74,RU,01/10/2023
Ribeira Grande,38.5167,-28.7,59.77,64,12,11.01,PT,01/10/2023
Port Blair,11.6667,92.75,82.44,65,20,11.5,IN,01/10/2023
Ubari,26.5921,12.7805,48.92,42,0,5.59,LY,01/10/2023
Barra de Tecoanapa,16.5167,-98.75,75.96,76,0,4.47,MX,01/10/2023
Kununurra,-15.7667,128.7333,94.98,49,82,6.91,AU,01/10/2023
Jamestown,42.097,-79.2353,32.02,72,75,5.75,US,01/10/2023
Kavaratti,10.5669,72.642,79.9,59,75,2.71,IN,01/10/2023
Portland,45.5234,-122.6762,49.35,80,100,13.8,US,01/10/2023
Mataura,-46.1927,168.8643,64.45,44,48,6.17,NZ,01/10/2023
Sur,22.5667,59.5289,75.58,68,0,7.34,OM,01/10/2023
Port Elizabeth,-33.918,25.5701,72.32,89,75,5.75,ZA,01/10/2023
Yellowknife,62.456,-114.3525,-12.44,100,38,4.07,CA,01/10/2023
Busselton,-33.65,115.3333,77.58,43,0,10.2,AU,01/10/2023
Mehamn,71.0357,27.8492,24.75,80,0,8.05,NO,01/10/2023
Rikitea,-23.1203,-134.9692,78.8,76,69,14.61,PF,01/10/2023
Birao,10.2849,22.7882,63.99,24,8,10.65,CF,01/10/2023
Sitka,57.0531,-135.33,39.09,87,100,5.75,US,01/10/2023
Albany,42.6001,-73.9662,26.56,71,95,1.01,US,01/10/2023
Hobart,-42.8794,147.3294,84.27,50,20,16.11,AU,01/10/2023
Oussouye,12.485,-16.5469,73.49,20,92,8.1,SN,01/10/2023
Berlevåg,70.8578,29.0864,24.8,80,20,18.41,NO,01/10/2023
Punta Arenas,-53.15,-70.9167,48.31,87,0,2.3,CL,01/10/2023
Kapaa,22.0752,-159.319,78.78,79,75,3.44,US,01/10/2023
Matara,5.9485,80.5353,79.12,71,4,5.44,LK,01/10/2023
Banda Aceh,5.5577,95.3222,80.92,67,99,2.93,ID,01/10/2023
Yelizovo,53.1873,158.3805,10.54,43,0,7.0,RU,01/10/2023
Hong Kong,22.2855,114.1577,68.05,88,100,4.0,HK,01/10/2023
Upernavik,72.7868,-56.1549,-23.42,98,63,7.11,GL,01/10/2023
Caravelas,-17.7125,-39.2481,75.11,92,100,4.29,BR,01/10/2023
Bluff,-46.6,168.3333,56.35,67,17,10.11,NZ,01/10/2023
Salalah,17.0151,54.0924,68.09,68,0,5.75,OM,01/10/2023
Antalaha,-14.9003,50.2788,77.31,81,76,2.95,MG,01/10/2023
Cape Town,-33.9258,18.4232,62.11,82,0,3.44,ZA,01/10/2023
Vaini,-21.2,-175.2,87.96,79,75,6.91,TO,01/10/2023
Barrow,71.2906,-156.7887,-14.78,84,0,18.41,US,01/10/2023
Mahébourg,-20.4081,57.7,80.26,78,75,3.44,MU,01/10/2023
